"Result ID","Start Time ","Last Seen ","Duration ","Batch","Worker ID ","Worker Type ","MTurk Worker ID (Confirmation Code) ","State ","Message "
"1102","2021/09/29 12:50:47","2021/09/29 13:14:48","00:24:06","Default","2615","Personal Multiple","none(none)","FINISHED","none"
"1099","2021/09/29 11:21:44","2021/09/29 11:45:45","00:24:28","Default","2612","Personal Multiple","none(none)","FINISHED","none"
"1086","2021/09/27 07:40:43","2021/09/27 08:04:44","00:24:30","Default","2601","Personal Multiple","none(none)","FINISHED","none"
"1105","2021/09/29 14:03:11","2021/09/29 14:27:11","00:25:32","Default","2618","Personal Multiple","none(none)","FINISHED","none"
"1111","2021/09/30 09:12:25","2021/09/30 09:36:25","00:25:34","Default","2624","Personal Multiple","none(none)","FINISHED","none"
"1095","2021/09/28 15:18:27","2021/09/28 15:44:28","00:27:39","Default","2608","Personal Multiple","none(none)","FINISHED","none"
"517","2020/11/28 18:28:46","2020/11/28 18:54:47","00:27:52","Default","872","Personal Multiple","none(none)","FINISHED","none"
"1093","2021/09/28 14:24:21","2021/09/28 14:52:22","00:28:03","Default","2606","Personal Multiple","none(none)","FINISHED","none"
"1096","2021/09/28 15:48:54","2021/09/28 16:16:55","00:29:56","Default","2609","Personal Multiple","none(none)","FINISHED","none"
"1100","2021/09/29 11:47:12","2021/09/29 12:17:12","00:30:40","Default","2613","Personal Multiple","none(none)","FINISHED","none"
"1101","2021/09/29 12:18:54","2021/09/29 12:48:54","00:30:50","Default","2614","Personal Multiple","none(none)","FINISHED","none"
"855","2020/12/11 20:37:14","2020/12/11 21:07:21","00:31:09","ELTE-krajcsi","1978","Personal Multiple","none(none)","FINISHED","none"
"1090","2021/09/28 12:39:46","2021/09/28 13:09:47","00:31:21","Default","2603","Personal Multiple","none(none)","FINISHED","none"
"1113","2021/09/30 11:20:26","2021/09/30 11:52:27","00:32:36","Default","2626","Personal Multiple","none(none)","FINISHED","none"
"1109","2021/09/30 07:43:24","2021/09/30 08:23:25","00:41:27","Default","2622","Personal Multiple","none(none)","FINISHED","none"
"1110","2021/09/30 08:27:55","2021/09/30 09:09:56","00:42:40","Default","2623","Personal Multiple","none(none)","FINISHED","none"
"1088","2021/09/27 10:35:42","2021/09/27 11:19:44","00:44:01 (not finished yet)","Default","2602","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"1098","2021/09/29 10:36:34","2021/09/29 11:20:35","00:44:18","Default","2611","Personal Multiple","none(none)","FINISHED","none"
"1092","2021/09/28 13:36:10","2021/09/28 14:22:11","00:46:54","Default","2605","Personal Multiple","none(none)","FINISHED","none"
"516","2020/11/28 18:28:30","2020/11/28 18:28:30","00:47:59","Default","872","Personal Multiple","none(none)","FAIL","It's not allowed to reload this component (ID: 70). Study (ID: 70) is finished."
"862","2020/12/12 18:03:40","2020/12/12 19:21:07","01:17:27 (not finished yet)","ELTE-krajcsi","1984","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"882","2020/12/16 12:16:05","2020/12/16 15:16:40","03:00:35 (not finished yet)","ELTE-krajcsi","1991","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"575","2020/12/03 08:58:25","2020/12/03 09:00:27","06:41:15","Default","905","Personal Multiple","none(none)","FAIL","It's not allowed to reload this component (ID: 70). Study (ID: 70) is finished."
"856","2020/12/11 21:02:13","2020/12/13 00:16:03","1:03:13:49 (not finished yet)","ELTE-krajcsi","1976","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"1087","2021/09/27 08:05:58","never","none","Default","2601","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"877","2020/12/15 12:40:25","never","none","ELTE-krajcsi","1988","Personal Multiple","none(none)","STARTED","none"
"865","2020/12/12 18:24:14","never","none","ELTE-krajcsi","1984","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"857","2020/12/11 21:02:19","never","none","ELTE-krajcsi","1976","Personal Multiple","none(none)","STARTED","none"
"825","2020/12/10 15:12:37","never","none","ELTE-krajcsi","1974","Personal Multiple","none(none)","STARTED","none"
"824","2020/12/10 15:11:12","never","none","ELTE-krajcsi","1974","Personal Multiple","none(none)","STARTED","none"
"823","2020/12/10 15:11:04","never","none","ELTE-krajcsi","1974","Personal Multiple","none(none)","STARTED","none"
"756","2020/12/09 06:48:13","never","none","ELTE-krajcsi","1956","Personal Multiple","none(none)","STARTED","none"
"755","2020/12/09 04:33:14","never","none","ELTE-krajcsi","1956","Personal Multiple","none(none)","STARTED","none"
"588","2020/12/04 13:45:07","never","none","Default","872","Personal Multiple","none(none)","STARTED","none"
"551","2020/11/30 22:33:45","never","none","Default","890","Personal Multiple","none(none)","STARTED","none"
"550","2020/11/30 19:52:40","never","none","Default","890","Personal Multiple","none(none)","STARTED","none"
"543","2020/11/30 17:22:10","never","none","Default","890","Personal Multiple","none(none)","STARTED","none"
"529","2020/11/30 15:34:30","never","none","Default","890","Personal Multiple","none(none)","STARTED","none"
"502","2020/11/28 11:02:32","never","none","Default","863","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"489","2020/11/26 21:23:07","never","none","Default","849","Personal Multiple","none(none)","STARTED","none"
"488","2020/11/26 18:30:45","never","none","Default","849","Personal Multiple","none(none)","STARTED","none"
