"batchId","batchTitle","count_study_sequence","count_test_sequence","datetime","response","response_study_response","response_test_response","response_time","response_time_study_response","response_time_test_response","stim","studyResultId","workerId","type","tq","DTF","DTAF","DTAN","DTN_byPhase","DTN"
30,"krajcsi",74,NA,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","",2227,2227,NA,"prototype2.png",514,"1761","prototype","study",0,0,0,0,0
30,"krajcsi",74,0,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",2843,2227,2843,"p5sarrsha3.png",514,"1761","sarrsha","new",5,10,10.8421052631579,11.2222222222222,12.6666666666667
30,"krajcsi",74,1,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","down","right","down",1828,2227,1828,"p2sarrshacol1.png",514,"1761","sarrshacol","old",2,9.4,9.8421052631579,10.4444444444444,11.9191919191919
30,"krajcsi",74,2,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","right","left",1854,2227,1854,"p4sarr4.png",514,"1761","sarr","new",9,13.6,13.0526315789474,13.2222222222222,14.2222222222222
30,"krajcsi",74,3,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","down","right","down",1759,2227,1759,"p5sarrsha2.png",514,"1761","sarrsha","old",4,10.8,10.8947368421053,11.2222222222222,12.8686868686869
30,"krajcsi",74,4,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","right","left",2837,2227,2837,"p7sarr2.png",514,"1761","diffarr","old",15,16.4,15.7894736842105,16.3333333333333,16.7676767676768
30,"krajcsi",74,5,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1514,2227,1514,"p1sarrsha4.png",514,"1761","sarrsha","new",4,12.6,13.3157894736842,13.8888888888889,14.020202020202
30,"krajcsi",74,6,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","None","right","None",3008,2227,3008,"p3sarrcol2.png",514,"1761","sarrcol","old",3,12,12.2631578947368,12.7777777777778,14.2424242424242
30,"krajcsi",74,7,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","right","left",1044,2227,1044,"p3sarrcol3.png",514,"1761","sarrcol","new",2,11.4,12.2105263157895,12.6666666666667,14.020202020202
30,"krajcsi",74,8,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","right","left",1752,2227,1752,"p1sarrsha1.png",514,"1761","sarrsha","old",4,13,13.2105263157895,13.8888888888889,14.0505050505051
30,"krajcsi",74,9,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","down","right","down",1615,2227,1615,"p4sarr1.png",514,"1761","sarr","old",6,12,12.7368421052632,13.2222222222222,13.4848484848485
30,"krajcsi",74,10,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","right","right","right",1101,2227,1101,"p9sarr2.png",514,"1761","diffarr","old",15,21,15.2105263157895,15.8888888888889,20.040404040404
30,"krajcsi",74,11,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","right","left",1849,2227,1849,"p1sarr2.png",514,"1761","sarr","old",8,14.2,14.3684210526316,14.7777777777778,14.6464646464646
30,"krajcsi",74,12,"Sat May 16 2020 18:02:11 GMT+0200 (közép-európai nyári idő)","left","right","left",1636,2227,1636,"p3sarrcol4.png",514,"1761","sarrcol","new",2,10.8,12.4736842105263,13.4444444444444,13.8282828282828
